STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer_HL ,2024-07-25T16:27:09.066Z
STATUS  ,connected ,puppeteer    ,2024-07-25T16:27:15.569Z
STATUS  ,connected ,OpenWPM      ,2024-07-25T16:27:22.126Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-25T16:27:28.367Z
STATUS  ,ping      ,puppeteer_HL ,2024-07-25T16:27:28.368Z ,            0.5
STATUS  ,ping      ,OpenWPM      ,2024-07-25T16:27:28.369Z ,            1
STATUS  ,ping      ,puppeteer    ,2024-07-25T16:27:28.370Z ,            1.5
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-25T16:27:28.371Z ,            2
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-25T16:27:39.196Z ,          766   ,             0 ,             6681 ,          6733 ,          746
CRAWLED ,url#1     ,puppeteer    ,2024-07-25T16:27:39.203Z ,         1255   ,             0 ,             6688 ,          6737 ,          746
CRAWLED ,url#1     ,OpenWPM      ,2024-07-25T16:27:39.942Z ,         6673   ,             0 ,             7427 ,          7374 ,          746
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-25T16:27:39.858Z ,         5067   ,             0 ,             7343 ,          7323 ,          746
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-25T16:28:04.539Z ,         1200   ,             0 ,             6471 ,          6512 ,          620
CRAWLED ,url#2     ,puppeteer    ,2024-07-25T16:28:04.543Z ,         1380   ,             0 ,             6475 ,          6509 ,          620
CRAWLED ,url#2     ,OpenWPM      ,2024-07-25T16:28:05.115Z ,         6461   ,             0 ,             7047 ,          7002 ,          620
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-25T16:28:05.159Z ,         5386   ,             0 ,             7091 ,          7022 ,          620
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-25T16:28:29.421Z ,          729   ,             0 ,             6134 ,          6181 ,          920
CRAWLED ,url#3     ,puppeteer    ,2024-07-25T16:28:29.420Z ,         1091   ,             0 ,             6133 ,          6173 ,          920
CRAWLED ,url#3     ,OpenWPM      ,2024-07-25T16:28:30.340Z ,         6125   ,             0 ,             7053 ,          6997 ,          920
