STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), REQUEST AFTER(MS), DONE AFTER(MS), MAX DELAY(MS)
CRAWLED, url#2, OpenWPM_HL, 2024-07-25T07:35:20.472Z, 4336, 108, 6346, 6321, 303
CRAWLED, url#2, OpenWPM, 2024-07-25T07:35:20.691Z, 5821, 0, 6565, 6527, 303
CRAWLED, url#2, puppeteer_HL, 2024-07-25T07:35:20.775Z, 848, 814, 6649, 6684, 303
CRAWLED, url#3, puppeteer, 2024-07-25T07:35:54.990Z, 1061, 811, 6394, 6451, 49
CRAWLED, url#3, OpenWPM_HL, 2024-07-25T07:35:54.948Z, 4123, 108, 6352, 6328, 49
CRAWLED, url#3, OpenWPM, 2024-07-25T07:35:54.992Z, 5572, 0, 6396, 6350, 49
CRAWLED, url#3, puppeteer_HL, 2024-07-25T07:35:54.997Z, 735, 814, 6401, 6468, 49
CRAWLED, url#4, puppeteer, 2024-07-25T07:36:19.865Z, 984, 811, 6720, 6750, 379
CRAWLED, url#4, OpenWPM_HL, 2024-07-25T07:36:19.490Z, 4845, 108, 6345, 6318, 379
CRAWLED, url#4, OpenWPM, 2024-07-25T07:36:19.710Z, 5899, 0, 6565, 6541, 379
CRAWLED, url#4, puppeteer_HL, 2024-07-25T07:36:19.869Z, 905, 814, 6724, 6762, 379
CRAWLED, url#5, puppeteer, 2024-07-25T07:36:54.130Z, 1443, 811, 6481, 6515, 305
CRAWLED, url#5, OpenWPM_HL, 2024-07-25T07:36:54.287Z, 4711, 108, 6638, 6615, 305
CRAWLED, url#5, OpenWPM, 2024-07-25T07:36:53.982Z, 5656, 0, 6333, 6316, 305
CRAWLED, url#5, puppeteer_HL, 2024-07-25T07:36:54.127Z, 690, 814, 6478, 6525, 305
CRAWLED, url#6, puppeteer, 2024-07-25T07:37:28.499Z, 1183, 811, 6077, 6133, 193
CRAWLED, url#6, OpenWPM_HL, 2024-07-25T07:37:28.657Z, 4030, 108, 6235, 6199, 193
CRAWLED, url#6, OpenWPM, 2024-07-25T07:37:28.692Z, 5258, 0, 6270, 6212, 193
CRAWLED, url#6, puppeteer_HL, 2024-07-25T07:37:28.504Z, 625, 814, 6082, 6115, 193
CRAWLED, url#7, puppeteer, 2024-07-25T07:37:53.215Z, 1422, 811, 6385, 6427, 447
CRAWLED, url#7, OpenWPM_HL, 2024-07-25T07:37:52.870Z, 4068, 108, 6040, 6036, 447
CRAWLED, url#7, OpenWPM, 2024-07-25T07:37:53.317Z, 5566, 0, 6487, 6444, 447
CRAWLED, url#7, puppeteer_HL, 2024-07-25T07:37:53.218Z, 981, 814, 6388, 6411, 447
CRAWLED, url#8, puppeteer, 2024-07-25T07:38:27.792Z, 1046, 811, 6369, 6416, 392
CRAWLED, url#8, OpenWPM_HL, 2024-07-25T07:38:28.061Z, 4779, 108, 6638, 6620, 392
CRAWLED, url#8, OpenWPM, 2024-07-25T07:38:27.669Z, 5548, 0, 6246, 6215, 392
CRAWLED, url#8, puppeteer_HL, 2024-07-25T07:38:27.797Z, 678, 814, 6374, 6410, 392
CRAWLED, url#9, puppeteer, 2024-07-25T07:38:52.509Z, 1304, 811, 6288, 6339, 415
CRAWLED, url#9, OpenWPM_HL, 2024-07-25T07:38:52.924Z, 4414, 108, 6703, 6684, 415
CRAWLED, url#9, OpenWPM, 2024-07-25T07:38:52.698Z, 5469, 0, 6477, 6452, 415
CRAWLED, url#9, puppeteer_HL, 2024-07-25T07:38:52.515Z, 649, 814, 6294, 6326, 415
CRAWLED, url#10, puppeteer, 2024-07-25T07:39:18.016Z, 994, 811, 6952, 6998, 204
CRAWLED, url#10, OpenWPM_HL, 2024-07-25T07:39:17.815Z, 4707, 108, 6751, 6719, 204
CRAWLED, url#10, OpenWPM, 2024-07-25T07:39:17.820Z, 6133, 0, 6756, 6706, 204
CRAWLED, url#10, puppeteer_HL, 2024-07-25T07:39:18.019Z, 734, 814, 6955, 6992, 204
CRAWLED, url#11, puppeteer, 2024-07-25T07:39:42.553Z, 1564, 811, 6584, 6619, 305
CRAWLED, url#11, OpenWPM_HL, 2024-07-25T07:39:42.498Z, 4834, 108, 6529, 6513, 305
CRAWLED, url#11, OpenWPM, 2024-07-25T07:39:42.249Z, 5760, 0, 6280, 6240, 305
