STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer_HL ,2024-07-24T09:31:36.998Z
STATUS  ,connected ,puppeteer    ,2024-07-24T09:31:42.636Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-24T09:31:48.206Z
STATUS  ,connected ,OpenWPM      ,2024-07-24T09:31:53.699Z
STATUS  ,ping      ,puppeteer_HL ,2024-07-24T09:31:53.701Z ,            1
STATUS  ,ping      ,puppeteer    ,2024-07-24T09:31:53.702Z ,            1
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-24T09:31:53.702Z ,            1.5
STATUS  ,ping      ,OpenWPM      ,2024-07-24T09:31:53.703Z ,            2
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-24T09:32:00.952Z ,         1041   ,             0 ,             1422 ,          2718 ,         6275
CRAWLED ,url#1     ,puppeteer    ,2024-07-24T09:32:00.866Z ,         1246   ,             0 ,             1336 ,          2651 ,         6275
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-24T09:32:07.141Z ,         5693   ,             0 ,             7611 ,          7593 ,         6275
CRAWLED ,url#1     ,OpenWPM      ,2024-07-24T09:32:07.070Z ,         7034   ,             0 ,             7540 ,          7515 ,         6275
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-24T09:32:36.681Z ,          855   ,             0 ,             1397 ,          2735 ,         5331
CRAWLED ,url#2     ,puppeteer    ,2024-07-24T09:32:36.841Z ,         1185   ,             0 ,             1557 ,          2879 ,         5331
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-24T09:32:42.012Z ,         4675   ,             0 ,             6728 ,          6681 ,         5331
CRAWLED ,url#2     ,OpenWPM      ,2024-07-24T09:32:41.422Z ,         5327   ,             0 ,             6138 ,          6120 ,         5331
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-24T09:33:01.876Z ,         1483   ,             0 ,             1751 ,          3218 ,         5151
CRAWLED ,url#3     ,puppeteer    ,2024-07-24T09:33:02.064Z ,         1921   ,             0 ,             1939 ,          3345 ,         5151
